Pers.No.,Termd,TermType,ReasonForLeaving,Rehire,BusinessUnit,EESubgroup,EEGroup,Commission,RecentRating,Tenure,Paygrade,TimeInPaygrade,PercentOfMarket,FinalPay,BeginPay,ChangeSince2020,PayIncreases,EdAssist,Sex,POC,Age,Promotion,DevRole,AppliedToJobs,HiredInJobs,PercentOfJobHired
1370,0,2,,0,IT,0,Temp,0,0,0.31,ACQ,0.31,1.01,39820,39820,0,0,0,0,1,34.94,0,0,2,1,0.5
1371,0,2,,0,Field Svcs,0,Full-Time,0,0,0.31,ACQ,0.31,0.82,44560,44123.2,0.01,1,0,1,1,30.96,0,0,1,1,1
1372,0,2,,0,HR,1,Full-Time,0,3,0.31,4A,0.31,1.06,120265,120265,0,0,0,0,1,55.31,0,0,1,1,1
1373,0,2,,0,Finance,1,Full-Time,1,3,0.31,1J,0.31,0.79,48470,48470,0,0,0,0,2,48.02,0,0,1,1,1
1374,0,2,,0,Finance,1,Full-Time,1,4,0.3,1J,0.3,0.84,54395,54395,0,0,0,0,1,26.91,0,0,1,1,1
1375,0,2,,0,Marketing,1,Full-Time,0,4,0.31,3A,0.31,0.88,86615,86615,0,0,0,1,1,30.03,0,0,1,1,1
1376,0,2,,0,CCO,1,Full-Time,1,0,0.31,1J,0.31,0.49,30715,30715,0,0,0,0,2,30.95,0,0,1,1,1
1377,1,0,Resigned-Job Abandonment,0,CCO,1,Full-Time,1,0,0.01,1J,0.01,0.49,31085,31085,0,0,0,1,1,54.55,0,0,1,1,1
1378,0,2,,0,HR,0,Temp,0,0,0.3,ACQ,0.3,1.01,42115,42115,0,0,0,0,1,26.57,0,0,1,1,1
1379,0,2,,0,Net Svcs,0,Full-Time,0,3,0.22,3H,0.22,0.89,54440,54440,0,0,0,1,1,43.27,0,0,1,1,1
1380,1,0,Res-Another Position,0,Net Svcs,0,Full-Time,0,3,0.24,1H,0.24,0.84,35740,35740,0,0,0,1,1,29.02,0,0,1,1,1
1381,0,2,,0,IT,1,Full-Time,0,4,0.28,1J,0.28,0.93,60575,60575,0,0,0,1,1,43.1,0,0,1,1,1
1382,0,2,,0,IT,1,Full-Time,0,3,0.3,1J,0.3,0.9,58470,58470,0,0,0,0,2,62.16,0,0,1,1,1
1383,0,2,,0,Net Svcs,0,Full-Time,0,3,0.3,2H,0.3,0.84,46350,46350,0,0,0,1,1,43.72,0,0,1,1,1
1384,0,2,,0,Field Svcs,0,Full-Time,0,3,0.3,2H,0.3,0.88,48240,48240,0,0,0,1,1,23.21,0,0,1,1,1
1385,0,2,,0,CCO,0,Full-Time,0,3,0.3,D2,0.3,0.81,34740,34740,0,0,0,0,2,32.33,0,0,1,1,1
1386,1,1,Dis-End of Introductory Period,0,CCO,0,Full-Time,0,0,0.1,D2,0.1,0.81,32755,32755,0,0,0,0,0,28.96,0,0,1,1,1
1387,0,2,,0,CCO,0,Full-Time,0,3,0.3,D2,0.3,0.81,33410,33410,0,0,0,0,2,29.32,0,0,1,1,1
1388,1,0,Res-Dissat Comp. and Benefits,0,Field Svcs,0,Full-Time,0,1,0.09,3H,0.09,0.83,50590,50590,0,0,0,1,1,50.67,0,0,1,1,1
1389,0,2,,0,CCO,0,Full-Time,0,4,0.3,D2,0.3,0.81,32920,32920,0,0,0,0,2,26.66,0,0,1,1,1
1390,1,0,Resigned-Personal Reasons,0,CCO,0,Full-Time,0,3,0.18,D2,0.18,0.81,34625,34625,0,0,0,0,2,26.95,0,0,1,1,1
1391,0,2,,0,CCO,0,Full-Time,0,4,0.3,D2,0.3,0.81,33510,33510,0,0,0,0,2,25.33,0,0,1,1,1
1392,1,0,Res-Dissat w/ Supervisor,0,CCO,0,Full-Time,0,3,0.12,D2,0.12,0.81,35120,35120,0,0,0,0,2,37.72,0,0,1,1,1
1393,0,2,,0,HR,0,Temp,0,0,0.28,ACQ,0.28,1.01,36180,36180,0,0,0,1,1,21.31,0,0,1,1,1
1394,1,0,Resigned-Personal Reasons,0,Field Svcs,0,Full-Time,0,3,0.08,2H,0.08,0.88,48425,48425,0,0,0,1,1,37.61,0,0,1,1,1
1395,0,2,,0,Field Svcs,0,Full-Time,0,4,0.28,2H,0.28,0.81,44180,44180,0,0,0,1,1,49.37,0,0,1,1,1
1396,0,2,,0,Giro,0,Full-Time,0,0,0.24,1H,0.07,0.94,44465,41345,0.08,1,0,0,1,21.95,0,0,1,1,1
1397,0,2,,0,CCO,1,Full-Time,1,0,0.24,1J,0.24,0.49,31435,31435,0,0,0,0,1,49.02,0,0,1,1,1
1398,0,2,,0,Field Svcs,0,Full-Time,0,0,0.2,3H,0.2,0.87,53165,53165,0,0,0,1,1,39.41,0,0,1,1,1
1399,0,2,,0,Net Svcs,0,Full-Time,0,4,0.26,2H,0.26,0.81,44505,44505,0,0,0,1,2,40.57,0,0,1,1,1
1400,0,2,,0,IT,0,Temp,0,0,0.26,ACQ,0.26,1.01,39740,39740,0,0,0,0,1,27.73,0,0,1,1,1
1401,0,2,,0,IT,0,Temp,0,0,0.26,ACQ,0.26,1.01,40460,40460,0,0,0,0,1,34.63,0,0,1,1,1
1402,0,2,,0,IT,1,Full-Time,0,4,0.28,1J,0.28,0.81,52670,52670,0,0,0,0,1,34.09,0,0,1,1,1
1403,0,2,,0,Marketing,1,Full-Time,0,3,0.26,2A,0.26,0.88,75565,75565,0,0,0,0,1,42.11,0,0,1,1,1
1404,0,2,,0,Net Svcs,0,Full-Time,0,4,0.28,2H,0.28,0.88,48115,48115,0,0,0,1,1,22.92,0,0,1,1,1
1405,0,2,,0,CCO,0,Full-Time,1,3,0.27,D2,0.27,0.85,36260,36260,0,0,0,1,1,27.72,0,0,1,1,1
1406,0,2,,0,IT,0,Temp,0,0,0.27,ACQ,0.27,1.01,40460,40460,0,0,0,1,1,20.46,0,0,1,1,1
