Pers.No.,Termd,TermType,ReasonForLeaving,Rehire,BusinessUnit,EESubgroup,EEGroup,Commission,RecentRating,Tenure,Paygrade,TimeInPaygrade,PercentOfMarket,FinalPay,BeginPay,ChangeSince2020,PayIncreases,EdAssist,Sex,POC,Age,Promotion,DevRole,AppliedToJobs,HiredInJobs,PercentOfJobHired
4082,0,2,,0,Field Svcs,0,Full-Time,0,4,2.88,4H,0.87,0.93,56784,38480,0.48,6,0,1,1,33.38,1,0,2,2,1
4086,0,2,,0,IT,1,Full-Time,0,4,2.88,4E,0.15,1.04,96930,67000,0.45,6,0,1,1,26.26,2,0,1,1,1
4094,0,2,,0,Field Svcs,0,Full-Time,0,3,2.86,4H,0.87,0.82,49982.4,33924.8,0.47,6,0,1,1,29.78,1,0,1,1,1
4096,0,2,,0,Field Svcs,1,Full-Time,0,3,2.87,5E,0.72,0.85,83840,50960,0.65,6,0,1,1,36.73,2,0,6,3,0.5
4126,0,2,,0,IT,1,Full-Time,0,5,2.82,3E,0.03,0.99,79800,33280,1.4,6,0,1,1,28.26,2,0,12,2,0.17
4138,0,2,,0,Field Svcs,0,Full-Time,0,4,2.77,4H,0.87,0.83,50814.4,33800,0.5,6,0,1,1,38.9,1,0,1,1,1
4171,0,2,,0,Field Svcs,0,Full-Time,0,4,2.73,4H,0.87,0.83,50814.4,33924.8,0.5,6,0,1,1,33.29,1,0,1,1,1
4174,0,2,,0,Field Svcs,0,Full-Time,0,3,2.67,4H,0.38,0.89,54288,41600,0.31,6,0,1,1,38.76,1,0,2,2,1
4189,0,2,,0,Marketing,1,Full-Time,0,5,2.67,2E,0.38,0.81,53000,33800,0.57,6,0,0,1,27.3,1,0,2,2,1
4198,0,2,,0,Field Svcs,0,Full-Time,0,4,2.69,4H,0.87,0.83,50814.4,33924.8,0.5,6,0,1,1,34.98,1,0,1,1,1
4210,0,2,,0,Finance,1,Full-Time,0,3,2.65,3E,0.11,0.9,69120,33280,1.08,6,0,1,1,24.05,1,0,5,3,0.6
4246,0,2,,0,Field Svcs,0,LOA,0,4,2.57,4H,0.87,0.84,48672,33280,0.46,6,0,1,1,48.85,2,0,4,1,0.25
4287,0,2,,0,Field Svcs,0,Full-Time,0,3,2.54,4H,0.87,0.82,49857.6,39520,0.26,6,0,1,1,44.46,0,0,1,1,1
4365,0,2,,0,Field Svcs,0,Full-Time,0,3,2.46,4H,1.52,0.85,51916.8,37668.8,0.38,6,0,1,1,21.82,1,0,1,1,1
4501,0,2,,0,CCO,0,Full-Time,0,3,2.17,C5,0.72,0.82,42473.6,29536,0.44,6,0,0,1,54.81,1,0,10,2,0.2
4504,0,2,,0,Field Svcs,0,Full-Time,0,4,2.14,CB,2.14,0.68,36816,32032,0.15,6,0,1,1,59.78,0,0,1,1,1
62,0,2,,0,Net Svcs,1,Full-Time,0,4,27.49,6E,0.34,0.87,109670,77980,0.41,5,0,1,1,56.63,3,0,1,1,1
173,0,2,,0,CCO,0,Full-Time,0,3,30.57,C4,1.68,1.05,49628.8,40892.8,0.21,5,0,0,1,61.63,0,0,1,1,1
221,0,2,,0,CCO,0,Full-Time,0,3,2.08,1E(N),0.15,0.82,46508.8,33696,0.38,5,0,1,1,56.34,3,0,3,3,1
234,0,2,,0,Net Svcs,1,Full-Time,0,3,2.05,2E,0.91,0.86,55860,33696,0.66,5,0,1,1,57.05,1,0,2,2,1
253,0,2,,1,Field Svcs,0,Full-Time,0,3,1.6,4H,0.87,0.8,48900.8,48900.8,0,5,0,1,1,24.6,1,0,2,1,0.5
262,0,2,,0,Field Svcs,0,Full-Time,0,3,2.02,4H,0.84,0.82,49982.4,35984,0.39,5,0,1,1,30.85,1,0,1,1,1
329,0,2,,0,Network Ops,0,Full-Time,0,3,1.8,2H,0.87,0.86,40414.4,29536,0.37,5,0,1,1,33.07,1,0,12,4,0.33
345,0,2,,0,Field Svcs,0,Full-Time,0,3,1.86,3H,0.87,0.83,43368,33280,0.3,5,0,1,2,38.64,0,0,1,1,1
347,0,2,,0,Field Svcs,0,Full-Time,0,3,1.87,3H,0.87,0.83,43368,33280,0.3,5,0,1,2,26.05,0,0,2,1,0.5
417,1,0,Resigned-Another Position,0,Field Svcs,0,Full-Time,0,3,0.82,4H,0.65,0.81,49628.8,45760,0.08,5,0,1,2,49.76,0,0,2,1,0.5
1102,0,2,,0,Field Svcs,0,Full-Time,0,4,22.86,6H,1.91,1.04,76252.8,56264,0.36,5,0,1,2,50.3,2,0,2,2,1
1905,0,2,,0,IT,1,Full-Time,0,4,23.1,6E,0.68,1,126980,97110,0.31,5,0,0,1,41.91,1,0,1,1,1
1928,0,2,,0,IT,1,Full-Time,0,5,22.78,6E,2.14,1.01,127380,90670,0.4,5,0,0,1,43.82,1,0,2,2,1
1997,0,2,,0,CCO,1,Full-Time,0,5,21.68,4E,1.14,0.99,85490,70120,0.22,5,0,0,1,47.81,1,0,2,2,1
2047,0,2,,0,CCO,0,Full-Time,0,3,20.62,C4,1.68,1,47340.8,40976,0.16,5,0,0,1,50.86,0,0,6,2,0.33
2090,0,2,,0,Net Svcs,1,Full-Time,0,3,23.2,5E,0.84,0.83,88190,62080,0.42,5,0,1,1,49.63,2,0,4,3,0.75
2125,0,2,,0,Comm Sales,1,Full-Time,0,4,23.88,5E,0.62,0.93,103250,74520,0.39,5,0,1,1,46.01,2,0,5,3,0.6
2177,0,2,,0,Net Svcs,1,Full-Time,0,3,20.07,4E,1.41,0.87,80400,61859.2,0.3,5,0,1,1,48.21,1,0,7,3,0.43
2200,0,2,,0,Network Ops,1,Full-Time,0,5,19.99,5E,0.84,0.98,99940,71300,0.4,5,0,1,1,50.13,2,0,5,2,0.4
2204,0,2,,0,Field Svcs,1,Full-Time,0,3,19.9,5E,0.76,0.94,92800,73700,0.26,5,0,0,1,44.95,2,0,4,3,0.75
2252,0,2,,0,CCO,1,Full-Time,0,3,12.78,3E,1.6,0.83,63690,51105.6,0.25,5,0,1,1,48.62,1,1,9,4,0.44
2261,0,2,,0,Network Ops,1,Full-Time,0,4,18.98,3E,1.83,0.86,69280,54000,0.28,5,0,1,1,42.55,1,0,1,1,1
2329,0,2,,0,Field Svcs,1,Full-Time,0,3,17.91,6E,0.87,0.82,94170,67600,0.39,5,0,1,2,42.58,1,0,6,3,0.5
